title,category,type,medium,frame,photo_url_link,artist,site,street_address,city,zip_code,state,latitude,longitude
MAYOR MAJOR ANDRE ANDREWS,PAINTINGS,PORTRAIT,OIL ON CANVAS,True,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/ANDRE%20ANDREWS.HTML,H M LUQUIENS,201 CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
POLICE RESERVE WORLD WAR I MEMORIAL,SCULPTURE,FIGURATIVE,BRONZE AND STONE,False,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/POLICE%20RESERVED%20WWI%20MEMORIAL.HTML,UNKNOWN,MARTIN LUTHER KING JR PARK,1354 GENESEE ST,BUFFALO,14211,NY,42.903817,-78.836196
CITY STREET MAP,GRAPHIC ARTS,MAP,CLOTH,True,UNKNOWN,UNKNOWN,502 CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
GIUSEPPE VERDI (ORIGINAL),SCULPTURE,BUST,BRONZE,False,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/VERDI%20ORIGINAL.HTML,A DECIANNO AND ANTONIO UGO,FOREST LAWN CEMETERY,1411 DELAWARE AVE,BUFFALO,14209,NY,42.926959,-78.861236
WBEN MILLENNIUM TIME CAPSULE,DECORATIVE OBJECTS,TIME CAPSULE,GRANITE AND MIXED MEDIA,False,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/MILLENIUM%20TIME%20CAPSULE.HTML,WAGNER MONUMENTS,NIAGARA SQUARE,NIAGARA SQUARE,BUFFALO,14202,NY,42.886627,-78.878551
JAPANESE LANTERNS,SCULPTURE,FIGURATIVE,GRANITE,False,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/JAPANESE%20LANTERNS.HTML,UNKNOWN,JAPANESE GARDENS,1 MUSEUM CT,BUFFALO,14216,NY,42.935585,-78.875174
MUNICIPAL BASEBALL WWI MEMORIAL,DECORATIVE OBJECTS,PLAQUE,BRONZE AND GRANITE,False,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/MUNICIPAL%20BASEBALL%20ASSOC.%20WWI%20MEMORIAL.HTML,UNKNOWN,CAZENOVIA PARK,REDJACKET PKWY,BUFFALO,14220,NY,42.846737,-78.810073
GIUSEPPE VERDI (REPLICA),SCULPTURE,BUST,BRONZE,False,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/VERDI%20REPLICA.HTML,A DECIANNO AND ANTONIO UGO,PORTER AVE,PORTER AVE & RICHMOND AVE,BUFFALO,14201,NY,42.902439,-78.882941
PHOTO OF DOWNTOWN,PHOTOGRAPHY,LANDSCAPE,MIXED MEDIA,True,UNKNOWN,UNKNOWN,304 CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
MAYOR JONATHAN SCOVILLE,PAINTINGS,PORTRAIT,OIL ON CANVAS,True,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/JONATHON%20SCOVILLE.HTML,STANLEY G HARTE,2ND FLOOR STORAGE CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
WEBSTER'S NEW INTERNATIONAL DICTIONARY OF THE ENGLISH LANGUAGE,DECORATIVE OBJECTS,BOOK,PAPER WITH CLOTH BINDING,False,UNKNOWN,UNKNOWN,1308 CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
MAYOR CHESTER KOWAL,PAINTINGS,PORTRAIT,OIL ON CANVAS,True,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/CHESTER%20KOWAL.HTML,E MEDAHOVICH,201 CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
COUNCIL PRESIDENT WILLIAM P FISHER,PAINTINGS,PORTRAIT,OIL ON CANVAS,True,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/WILLIAM%20FISHER.HTML,CHARLES ODDO,COUNCIL CHAMBER CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
74TH/174TH REGIMENT VETERANS PLAQUE,DECORATIVE OBJECTS,PLAQUE,BRONZE,False,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/74TH%20REGIMENT%20VETERANS%20PLAQUE.HTML,UNKNOWN,BUFFALO AND ERIE COUNTY NAVAL & MILITARY PARK,1 NAVAL PARK COVE,BUFFALO,14202,NY,42.878077,-78.880826
BUFFALO AND ERIE COUNTY HISTORICAL SOCIETY DOORS,DECORATIVE OBJECTS,DOORS,BRONZE,False,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/HISTORICAL%20SOCIETY%20DOORS.HTML,R CLINTON PERRY,BUFFALO HISTORY MUSEUM,1 MUSEUM COURT,BUFFALO,14216,NY,42.935415,-78.87627
DAVID,SCULPTURE,FIGURATIVE,BRONZE AND GRANITE,False,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/DAVID.HTML,MICHELANGELO BURNARROTI,DELAWARE PARK,MEADOW DRIVE,BUFFALO,14209,NY,42.933988,-78.873198
MERCHANT MARINE MEMORIAL,SCULPTURE,RELIEF,GRANITE AND BRONZE,False,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/MERCHANT%20MARINE%20MEMORIAL.HTML,TONY DECORSE,BUFFALO AND ERIE COUNTY NAVAL & MILITARY PARK,1 NAVAL PARK COVE,BUFFALO,14202,NY,42.878077,-78.880826
GRANDFATHER CLOCK,DECORATIVE OBJECTS,ANTIQUE CLOCK,MIXED MEDIA,False,UNKNOWN,UNKNOWN,226 CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
FERRY CIRCLE LAMP STAND,DECORATIVE OBJECTS,LAMP,"STEEL, FIBERGLASS   & SANDSTONE",False,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/FERRY%20CIRCLE%20LAMP%20STAND.HTML,COLGATE INDUSTRIES,FERRY CIRCLE,FERRY ST & RICHMOND ST,BUFFALO,14213,NY,42.915606,-78.882276
ALEXANDER PETOFI,SCULPTURE,BUST,BRONZE,False,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/PETOFI.HTML,GABRIELLA F KOSZORUS VARSA AND GEZA KENDE,RIVERSIDE PARK,2607 NIAGARA ST,BUFFALO,14207,NY,42.953998,-78.908087
POLICE MEMORIAL,SCULPTURE,FOUNTAIN,GRANITE AND CONCRETE,False,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/POLICE%20MEMORIAL.HTML,PETER CASTLE,BUFFALO POLICE DEPARTMENT,FRANKLIN ST,BUFFALO,14202,NY,42.882484,-78.878047
COUNCIL PRESIDENT HENRY F JERGE,PAINTINGS,PORTRAIT,OIL ON CANVAS ON PANEL,True,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/HENRY%20JERGE.HTML,J C MAZUR,COUNCIL CHAMBER CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
NIKOLA TESLA STATUE,SCULPTURE,,,False,,MARK DEFRAFFENRIED,MAIN & NORTH DIVISION,MAIN & NORTH DIVISION,BUFFALO,14202,NY,42.88316,-78.875193
OLDEST TREE IN BUFFALO COMMEMORATIVE PLAQUE,DECORATIVE OBJECTS,PLAQUE,BRONZE,False,UNKNOWN,UNKNOWN,STREET TREE LAWN,FRANKLIN ST & EDWARD STREET,BUFFALO,14202,NY,42.895687,-78.873701
CHARITY,PAINTING,MURAL,OIL ON CANVAS WITH HIGH RELIEF PLASTER,False,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/CHARITY.HTML,WILLIAM DE LEFTWICH DODGE,1ST FLOOR CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
MAYOR WILLIAM F ROGERS,GRAPHIC ARTS,PORTRAIT,PASTEL ON PAPER,True,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/WILLIAM%20ROGERS.HTML,UNKNOWN,2ND FLOOR STORAGE CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
